title,point,hit,review,star,address,telephone,image
캐시바,0,"5,266",4,20,"서울특별시 강남구 봉은사로2길 10
지번 서울시 강남구 역삼동 809-2",02-565-5465,"https://mp-seoul-image-production-s3.mangoplate.com/328993/434101_1499330416674_434101_1499180075250_729?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
와인어클락,0,"3,921",4,38,"서울특별시 강남구 강남대로106길 14 오성빌딩 2F
지번 서울시 강남구 역삼동 813-2 오성빌딩 2F",02-563-2200,"https://mp-seoul-image-production-s3.mangoplate.com/380664/1150196_1604982219631_49486?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
트리하우스,0,"6,169",3,120,"서울특별시 강남구 삼성로104길 21
지번 서울시 강남구 삼성동 148-13",02-556-2017,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/66561_1496143472568337.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
레 끌레 드 크리스탈,0,"1,185",3,36,"서울특별시 강남구 압구정로79길 8 하나빌딩 2-3F
지번 서울시 강남구 청담동 119-8 하나빌딩 2-3F",02-515-1198,"https://mp-seoul-image-production-s3.mangoplate.com/412315/1411507_1667487418240_19432?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
라뷸,0,"8,051",2,362,"서울특별시 강남구 압구정로80길 24 B1
지번 서울시 강남구 청담동 95-5 B1",02-511-5692,"https://mp-seoul-image-production-s3.mangoplate.com/348145/37227_1543326077247_8779?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
하프컷,0,"1,910",2,27,"서울특별시 강남구 삼성로75길 32 1F 101호
지번 서울시 강남구 대치동 901-60 1F 101호",02-6053-1919,"https://mp-seoul-image-production-s3.mangoplate.com/602257_1675503382128472.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
청담하우스바,0,"3,500",1,27,"서울특별시 강남구 선릉로152길 21
지번 서울시 강남구 청담동 89-6",010-3241-7456,"https://mp-seoul-image-production-s3.mangoplate.com/384700/449685_1552896509860_10671?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
타임,0,"2,444",1,23,"서울특별시 강남구 선릉로 344
지번 서울시 강남구 대치동 908",칵테일 / 와인,"https://mp-seoul-image-production-s3.mangoplate.com/275744/655610_1478685009625_9702?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
록키,0,79,4,3,"서울특별시 강남구 압구정로10길 30-7
지번 서울시 강남구 신사동 524-21",칵테일 / 와인,"https://mp-seoul-image-production-s3.mangoplate.com/492053/2508090_1676551002863_1000001024?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
에스653,0,"5,065",2,27,"서울특별시 강남구 도산대로51길 19
지번 서울시 강남구 신사동 653-4",010-3700-1117,"https://mp-seoul-image-production-s3.mangoplate.com/826759_1501487270780498.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
