title,point,hit,review,star,address,telephone,image
화이트바,0,"14,349",13,347,"서울특별시 강남구 압구정로80길 30 삼도빌딩 B1
지번 서울시 강남구 청담동 93-14 삼도빌딩 B1",02-6207-7429,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/1427_1482949976701912.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
더라이온스덴,0,"22,355",14,396,"서울특별시 강남구 선릉로158길 7
지번 서울시 강남구 청담동 84-11",02-512-1136,"https://mp-seoul-image-production-s3.mangoplate.com/190219/449685_1591152143616_1591151886395.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
문온더씨,0,"3,940",11,73,"서울특별시 강남구 삼성로82길 19 B1
지번 서울시 강남구 대치동 956-28 B1",02-501-0111,"https://mp-seoul-image-production-s3.mangoplate.com/670644_1624616370998207.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
바 밀라,0,"3,182",3,79,"서울특별시 강남구 삼성로149길 13 2F
지번 서울시 강남구 청담동 12-12 2F",02-544-4761,"https://mp-seoul-image-production-s3.mangoplate.com/2337483_1665705676149857.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
볼트82,0,"71,731",23,"2,117","서울특별시 강남구 압구정로72길 22
지번 서울시 강남구 청담동 95-15",02-544-9234,"https://mp-seoul-image-production-s3.mangoplate.com/196606/449685_1600726338468_8403?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
호사,0,"3,300",12,67,"서울특별시 강남구 선릉로148길 39
지번 서울시 강남구 청담동 3-15",02-545-9259,"https://mp-seoul-image-production-s3.mangoplate.com/1476505_1649054752789882.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
페타테,0,"22,773",9,628,"서울특별시 강남구 압구정로14길 32 2F
지번 서울시 강남구 신사동 546-20 2F",02-516-3342,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/1427_1447891039211.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
크르크르,0,"1,624",5,60,"서울특별시 강남구 압구정로42길 25-10 5F
지번 서울시 강남구 신사동 643-20 5F",070-7738-3249,"https://mp-seoul-image-production-s3.mangoplate.com/460882/172778_1650609335030_145275?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
사이드웨이,0,"48,874",30,812,"서울특별시 강남구 강남대로98길 28
지번 서울시 강남구 역삼동 817-38",02-555-9925,"https://mp-seoul-image-production-s3.mangoplate.com/1261/70608_1429088775031199791997219971199781997419973199751997619977?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
화빙장,0,"7,909",4,248,"서울특별시 강남구 압구정로50길 8
지번 서울시 강남구 신사동 660-10",02-540-2999,"https://mp-seoul-image-production-s3.mangoplate.com/447128/752493_1637681648958_48359?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
