title,point,hit,review,star,address,telephone,image
루프탑바,0,"11,572",11,176,"서울특별시 강남구 봉은사로 155 호텔 카푸치노 17F
지번 서울시 강남구 논현동 206-1 호텔 카푸치노 17F",02-2038-9618,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/63176_1451209269575.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
노마드,0,"6,396",8,114,"서울특별시 강남구 도산대로101길 28
지번 서울시 강남구 청담동 128-3",02-511-1283,"https://mp-seoul-image-production-s3.mangoplate.com/190193/37747_143705250768722466?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
레솔베르,0,"3,263",2,27,"서울특별시 강남구 도산대로57길 13-4 2F
지번 서울시 강남구 청담동 88-29 2F",010-2969-9154,"https://mp-seoul-image-production-s3.mangoplate.com/503366_1619454531208955.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
삼성리,0,"10,703",5,129,"서울특별시 강남구 봉은사로86길 28
지번 서울시 강남구 삼성동 148-10",02-6401-0200,"https://mp-seoul-image-production-s3.mangoplate.com/2177554_1644320176585992.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
타로맨스,0,"4,850",7,70,"서울특별시 강남구 도곡로11길 10
지번 서울시 강남구 역삼동 835-33",010-4983-9410,"https://mp-seoul-image-production-s3.mangoplate.com/380621/1656652_1677935612380_1000022828?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
모드라운지,0,"1,816",35,31,"서울특별시 서초구 서초대로77길 37 월드상가 10F
지번 서울시 서초구 서초동 1308-10 월드상가 10F",0507-1365-8923,"https://mp-seoul-image-production-s3.mangoplate.com/2194081_1646029506629166.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
청담대패당,0,"5,648",5,105,"서울특별시 강남구 도산대로 420 청담스퀘어 타워빌딩 320호
지번 서울시 강남구 청담동 3 청담스퀘어 타워빌딩 320호",02-6480-8989,"https://mp-seoul-image-production-s3.mangoplate.com/27066_1677421418306829.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
서울러,0,"6,373",8,130,"서울특별시 강남구 강남대로152길 69 B1
지번 서울시 강남구 신사동 540-18 B1",010-9929-6199,"https://mp-seoul-image-production-s3.mangoplate.com/1937806_1667214863527164.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
바인하우스,0,"3,887",5,49,"서울특별시 강남구 도산대로89길 13 B1
지번 서울시 강남구 청담동 123-53 B1",070-4231-6616,"https://mp-seoul-image-production-s3.mangoplate.com/73048/2221540_1670235701536_1000003314?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
오르빗,0,857,3,38,"서울특별시 강남구 선릉로157길 13 B1
지번 서울시 강남구 신사동 657-36 B1",02-548-3828,"https://mp-seoul-image-production-s3.mangoplate.com/1789241_1665386166046364.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
