address,x,y
서울특별시 강남구 강남대로96길 11-4 B1<br><br> 지번 서울시 강남구 역삼동 817-16 B1,127.0280549,37.50010449
서울특별시 강남구 압구정로10길 33<br><br> 지번 서울시 강남구 신사동 534,127.0221963,37.52145738
서울특별시 강남구 봉은사로4길 29 B1<br><br> 지번 서울시 강남구 역삼동 812 B1,127.0268617,37.50297717
서울특별시 강남구 테헤란로1길 28-9<br><br> 지번 서울시 강남구 역삼동 817-30,127.0280794,37.50049885
서울특별시 서초구 강남대로 437 1F<br><br> 지번 서울시 서초구 서초동 1305-3 1F,,
서울특별시 강남구 선릉로158길 18<br><br> 지번 서울시 강남구 청담동 88-23,127.0414324,37.52521046
서울특별시 강남구 도산대로101길 22<br><br> 지번 서울시 강남구 청담동 128-6,127.052977,37.52628389
서울특별시 서초구 서초대로77길 35 1F<br><br> 지번 서울시 서초구 서초동 1308-12 1F,,
서울특별시 강남구 강남대로98길 16 파빌리온빌딩 B1<br><br> 지번 서울시 강남구 역삼동 817-35 파빌리온빌딩 B1,127.0279792,37.50073944
서울특별시 강남구 압구정로80길 30 삼도빌딩 B1<br><br> 지번 서울시 강남구 청담동 93-14 삼도빌딩 B1,127.0443298,37.52479981
서울특별시 강남구 선릉로158길 7<br><br> 지번 서울시 강남구 청담동 84-11,127.0406882,37.52570834
서울특별시 강남구 삼성로82길 19 B1<br><br> 지번 서울시 강남구 대치동 956-28 B1,127.0592319,37.50542881
서울특별시 강남구 삼성로149길 13 2F<br><br> 지번 서울시 강남구 청담동 12-12 2F,,
서울특별시 강남구 압구정로72길 22<br><br> 지번 서울시 강남구 청담동 95-15,127.044974,37.52500653
서울특별시 강남구 선릉로148길 39<br><br> 지번 서울시 강남구 청담동 3-15,127.0426943,37.52290299
서울특별시 강남구 압구정로14길 32 2F<br><br> 지번 서울시 강남구 신사동 546-20 2F,,
서울특별시 강남구 압구정로42길 25-10 5F<br><br> 지번 서울시 강남구 신사동 643-20 5F,,
서울특별시 강남구 강남대로98길 28<br><br> 지번 서울시 강남구 역삼동 817-38,127.0286647,37.50086407
서울특별시 강남구 압구정로50길 8<br><br> 지번 서울시 강남구 신사동 660-10,127.0380315,37.52778937
