title,Point,View,Review,Star,Type
카츠8,4.4,"10,005",6,236,까스 요리
히미츠x뱅가드,4.4,"1,319",4,40,이자카야 / 오뎅 / 꼬치
해봉정육,4.4,"2,423",4,100,고기 요리
정식당,4.3,"363,483",205,"7,574",퓨전 한식
파이어벨,4.3,"283,556",381,"8,193","['브런치 / 버거 / 샌드위치', '레오버거\n9,900원\n루키버거\n7,900원\n콜911버거\n9,900원\n하바나버거\n9,500원\n칠리킹\n10,900원']"
다운타우너,4.3,"215,018",300,"7,235",브런치 / 버거 / 샌드위치
리틀넥,4.3,"195,061",192,"7,804",브런치 / 버거 / 샌드위치
스시선수,4.3,"267,157",95,"4,547",회 / 스시
로리스더프라임립,4.3,"332,636",195,"5,451","['스테이크 / 바베큐', '캘리포니아 컷 (170g)\n69,000원\n잉글리쉬 컷 (185g)\n80,000원\n로리 컷 (280g)\n95,000원\n짐브레디 컷 (450g)\n128,000원\n비프보울 컷 (620g)\n158,000원']"
파스토,4.3,"198,828",111,"6,139",이탈리안
울프강스테이크하우스,4.3,"88,423",127,"2,284",스테이크 / 바베큐
삼창교자,4.3,"86,891",110,"3,213",딤섬 / 만두
정돈,4.3,"307,878",230,"6,729","['까스 요리', '등심 돈카츠 (220g)\n13,000원\n안심 돈카츠 (220g)\n14,000원\n멘치카츠\n17,000원\n스페셜 등심 돈카츠 (230g)\n16,000원\n프리미엄 부타도로 돈카츠 (180g)\n25,000원']"
임병주산동칼국수,4.3,"202,184",237,"5,537",국수 / 면 요리
능라도,4.3,"76,008",151,"2,429",국수 / 면 요리
뜨락,4.3,"91,802",63,"2,024","['고기 요리', '안심 (150g)\n54,000원\n등심 (150g)\n52,000원\n채끝 (150g)\n48,000원\n양념등심 (180g)\n55,000원\n야채모둠\n15,000원']"
백년옥,4.3,"244,996",231,"6,080",탕 / 찌개 / 전골
SOOT (휴업중),4.3,"196,756",66,"5,350",퓨전 양식
노란상소갈비,4.3,"87,364",79,"2,897",고기 요리
스시사카우,4.3,"24,997",30,678,정통 일식 / 일반 일식
