title,Point,View,Review,Star,Type
스와니예,4.5,"140,856",91,"3,699",퓨전 양식
길목,4.5,"236,786",144,"6,394",고기 요리
콴안다오,4.5,"283,496",226,"7,072",베트남 음식
와라야키 쿠이신보,4.5,"458,330",132,"9,895",이자카야 / 오뎅 / 꼬치
스시키,4.5,"201,806",47,"4,207","['회 / 스시', '런치 오마카세\n55,000원\n디너 스시오마카세\n110,000원']"
젠제로,4.5,"62,938",218,"3,426",카페 / 디저트
갓포아키,4.5,"442,619",137,"10,380",이자카야 / 오뎅 / 꼬치
칙피스,4.5,"156,343",189,"5,043",세계음식 기타
허머스키친,4.5,"204,879",131,"2,650",세계음식 기타
임프레션,4.5,"51,134",31,"1,701",프랑스 음식
코슌,4.5,"42,744",24,"1,345",이자카야 / 오뎅 / 꼬치
덕후선생,4.5,"42,100",57,"1,143",기타 중식
소이연남마오,4.5,"196,726",75,"4,689",태국 음식
고갯마루집,4.5,"219,125",139,"4,901","['닭 / 오리 요리', '닭도리탕 (소)\n30,000원\n닭도리탕 (대)\n45,000원\n오리주물럭\n35,000원\n황기삼계탕\n14,000원\n황기닭곰탕 (점심)\n7,000원']"
르뱅룰즈,4.5,"20,387",37,674,"['베이커리', '꼬숑누와 잠봉뵈르\n7,500원\n루꼴라 프로마쥬 잠봉뵈르\n8,500원\n토마토 페퍼 먹물 푸가스\n6,000원\n무화크림바게트\n6,500원\n소금빵\n3,000원']"
해목,4.5,"31,857",37,"1,031","['정통 일식 / 일반 일식', '특히츠마부시\n57,000원\n히츠마부시\n39,000원\n특카이센동\n50,000원\n카이센동\n36,000원\n연어+네기도로\n22,000원']"
스기타마,4.5,"49,237",18,"1,247","['이자카야 / 오뎅 / 꼬치', '유부구이\n6,000원\n크림치즈와 슈토\n8,000원\n무조림\n5,000원\n연근칩\n6,000원\n코센 무로카나마겐슈\n10,000원']"
신비갈비살,4.5,"90,633",30,"2,248","['고기 요리', '갈비한짝모듬\n110,000원\n갈비반짝모듬\n60,000원\n한우갈비살 (100g)\n19,000원']"
우제홍참치,4.5,"63,222",28,"1,395",회 / 스시
더그레이트홍연,4.5,"9,280",10,118,정통 중식 / 일반 중식
핫쵸,4.5,"22,074",25,"1,045",정통 일식 / 일반 일식
왕스덕,4.5,"50,644",22,"1,226",정통 중식 / 일반 중식
옥토스,4.5,"56,292",14,844,"['해산물 요리', '활문어코스\n79,000원\n활문어숙회\n39,000원\n활문어튀김\n39,000원\n먹물라면\n5,000원\n참소라숙회\n20,000원']"
로바타라이브라,4.5,"22,371",13,709,이자카야 / 오뎅 / 꼬치
양재초밥,4.5,"46,714",30,"1,016",회 / 스시
최가네버섯샤브매운탕칼국수,4.5,"53,704",43,"1,580",탕 / 찌개 / 전골
PIZZA PIZZA,4.5,"12,653",10,299,기타 양식
르와조,4.5,"5,384",18,155,카페 / 디저트
보보식당,4.5,"8,160",8,441,퓨전 중식
이도,4.5,"45,009",18,913,"['이자카야 / 오뎅 / 꼬치', '성게알크림파스타\n25,000원\n총알오징어볶음우동\n22,000원\n가츠샌드\n17,000원\n갈츠덴뿌라\n28,000원\n마살라 새우\n16,000원']"
신사치킨클럽,4.5,"29,529",17,"1,002","['다국적 아시아 음식', '치킨카츠\n12,000원\n치킨 완탕면\n12,500원\n물교자\n9,000원\n감자사라다\n8,000원\n치킨 난반\n13,000원']"
계인전 보타니카,4.5,409,7,26,닭 / 오리 요리
비스테까,4.5,"32,784",28,559,카페 / 디저트
비야게레로,4.4,"200,913",341,"5,786",남미 음식
드링크얼랏,4.4,"298,004",237,"9,062","['카페 / 디저트', '러쉬\n8,000원\n데이지\n8,000원\n블랑\n8,000원\n스트로베리 치즈케이크\n8,000원\n라벤더라떼\n6,000원']"
꼼다비뛰드,4.4,"275,192",160,"6,980","['베이커리', '구겔호프\n4,000원\n바브카 카디엄\n4,000원\n스콘\n4,000원\n바스크치즈케이크\n6,000원\n바닐라파운드\n4,200원']"
지아니스나폴리,4.4,"378,403",295,"8,867","['이탈리안', '감베리 크레마\n17,500원\n봉골레 프레스케\n18,500원\n포치니 만조 크림 리조또\n25,000원\n레지나 알 포르노\n21,000원\n디아블라\n20,000원']"
골드피쉬딤섬퀴진,4.4,"331,556",255,"11,182","['딤섬 / 만두', '새우딤섬\n8,700원\n구채교 (3pcs)\n8,700원\n소룡포\n8,700원\n쇼마이\n8,500원\n골드피쉬 탕수육 (R)\n18,000원']"
정돈 프리미엄,4.4,"184,584",230,"4,276","['까스 요리', '로스카츠 (220g)\n18,000원\n상 로스카츠\n24,000원']"
중앙해장,4.4,"426,821",315,"6,591",탕 / 찌개 / 전골
봉밀가,4.4,"72,508",134,"1,774","['국수 / 면 요리', '평양메밀물국수\n12,000원\n평양메밀비빔국수\n12,000원\n뜨거운돌메밀국수\n11,000원\n뜨거운돌냄비우동\n9,500원\n메밀전\n7,000원']"
장스테이크,4.4,"385,552",151,"8,236","['스테이크 / 바베큐', '한우안심스테이크 (200g)\n56,000원\n한우꽃등심스테이크 (200g)\n52,000원\n한우채끝등심스테이크 (200g)\n49,000원\n런치스테이크코스\n58,000원\n디너스테이크코스\n80,000원']"
밍글스,4.4,"118,859",75,"3,663",퓨전 한식
길버트버거앤프라이즈,4.4,"269,185",304,"9,336",브런치 / 버거 / 샌드위치
경천애인 2237,4.4,"517,876",164,"8,163","['고기 요리', '경애등안채 (150g)\n46,500원\n소갈비살 (120g)\n53,000원\n꽃등심 (150g)\n49,500원\n특안심 (150g)\n54,300원\n스페셜육회 (130g)\n29,400원']"
김수사,4.4,"152,520",84,"3,387",회 / 스시
부타이,4.4,"145,628",169,"3,806",정통 일식 / 일반 일식
136길육미,4.4,"135,460",121,"4,617",퓨전 일식
보타르가,4.4,"75,879",61,"1,862",이탈리안
스시 나미키,4.4,"160,504",45,"3,540",회 / 스시
육전식당,4.4,"232,211",150,"4,268",고기 요리
권숙수,4.4,"122,093",38,"2,969","['한정식 / 백반 / 정통 한식', '런치테이스팅코스 (숙수상)\n125,000원\n시그니처 코스 (미식상)\n155,000원']"
새들러하우스,4.4,"74,029",116,"3,217",카페 / 디저트
몽중헌,4.4,"249,274",84,"4,017","['정통 중식 / 일반 중식', '하교 (3개)\n9,800원\n구채교\n9,800원\n백채교\n9,800원\n마라소룡포\n11,000원\n런치 코스\n65,000원']"
스시 시미즈,4.4,"70,256",28,"1,182","['회 / 스시', '런치 오마카세\n100,000원\n디너 오마카세\n220,000원']"
농민백암순대,4.4,"366,998",202,"7,000",탕 / 찌개 / 전골
시고로,4.4,"49,537",40,"1,756",퓨전 양식
와려,4.4,"44,611",21,850,"['정통 일식 / 일반 일식', '런치 오마카세\n60,000원\n디너 오마카세\n120,000원']"
청류벽,4.4,"107,406",75,"2,435",국수 / 면 요리
뽕나무쟁이,4.4,"213,742",253,"6,233","['고기 요리', '모둠족발 (중)\n43,000원\n뽕족발 (중)\n41,000원\n양념족발 (중)\n41,000원\n쟁반막국수\n13,000원\n해물부추전\n15,000원']"
더라운드,4.4,"33,065",31,637,"['정통 중식 / 일반 중식', 'Luncheon N set\n44,000원\nLuncheon A set\n55,000원\nLuncheon D set\n66,000원\nDinner T set\n110,000원\nDinner F set\n130,000원']"
스시하나레,4.4,"12,473",19,447,회 / 스시
스미카,4.4,"7,883",13,228,회 / 스시
테일러커피,4.4,"58,780",102,"1,757",카페 / 디저트
리북집,4.4,"136,994",191,"3,725",고기 요리
원스타 올드패션드 햄버거,4.4,"63,345",77,"1,749",브런치 / 버거 / 샌드위치
흐비지떼,4.4,"20,310",29,844,"['카페 / 디저트', '피스타치오 마들렌\n3,600원\n들깨 휘낭시에\n3,100원\n호지차 피칸 마들렌\n3,600원\n몽블랑\n8,700원\n바니퉁카\n9,000원']"
야키토리묵,4.4,"23,193",18,600,이자카야 / 오뎅 / 꼬치
봉산옥,4.4,"194,424",121,"4,868",한정식 / 백반 / 정통 한식
영동장어,4.4,"47,536",34,"1,417",해산물 요리
구테로이테,4.4,"10,653",45,358,카페 / 디저트
어물전 청,4.4,"32,916",20,"1,276",퓨전 한식
외고집설렁탕,4.4,"185,174",144,"4,557",탕 / 찌개 / 전골
세야스시,4.4,"79,723",27,"1,009","['회 / 스시', '런치오마카세\n150,000원\n디너오마카세\n280,000원']"
압구정공주떡집,4.4,"281,633",124,"4,198",카페 / 디저트
강남진해장,4.4,"182,789",90,"3,014",탕 / 찌개 / 전골
효계,4.4,"58,128",22,"2,197","['닭 / 오리 요리', '모듬닭구이 (600g)\n36,000원\n닭구이 (400g)모듬\n24,000원\n야채모듬구이\n8,000원\n연두부찌개\n8,000원\n명란구이\n7,000원']"
은화계,4.4,"25,763",24,820,닭 / 오리 요리
428 레스토랑,4.4,"30,475",20,881,이탈리안
이타닉가든,4.4,"10,857",8,280,한정식 / 백반 / 정통 한식
서동한우,4.4,"68,550",20,927,고기 요리
돈불리제담,4.4,"42,758",22,"1,051",고기 요리
비스트로앤트로,4.4,"11,991",15,419,"['다국적 퓨전', '판콘토마테\n14,000원\n방어 타르타르\n27,000원\n가지튀김\n14,000원\n그릴타이거새우\n26,000원\n오리가슴살구이\n36,000원']"
FOURB,4.4,"25,522",21,459,카페 / 디저트
티하우스하다,4.4,"6,375",6,210,카페 / 디저트
B3713,4.4,"8,817",10,248,퓨전 양식
하나샤부정,4.4,"103,363",39,"2,092",기타 일식
PDR,4.4,"14,667",12,770,칵테일 / 와인
레아,4.4,"17,271",19,463,이탈리안
우밀면옥,4.4,"38,896",25,804,국수 / 면 요리
청우참치,4.4,"53,180",21,"1,168",회 / 스시
챔프커피,4.4,"50,963",36,848,카페 / 디저트
키헤이커피,4.4,"9,367",19,290,카페 / 디저트
쿠시아게진,4.4,"6,233",6,323,기타 일식
오마치슌,4.4,"18,777",15,277,"['정통 일식 / 일반 일식', '모듬사시미(특)\n90,000원\n방어사시미\n70,000원\n생굴조회\n25,000원\n복어가라아게\n24,000원\n우니\n35,000원']"
논현장어,4.4,"61,422",20,"1,503",해산물 요리
트헝뜨,4.4,"3,075",5,197,프랑스 음식
히바치,4.4,"4,121",8,129,회 / 스시
한미옥,4.4,"7,885",7,280,고기 요리
피아마,4.4,"6,177",5,276,칵테일 / 와인
고메램,4.4,"17,141",14,310,고기 요리
스시상현,4.4,"3,538",4,77,회 / 스시
구을가,4.4,"17,753",10,352,고기 요리
브레덴버거,4.4,"2,561",6,153,브런치 / 버거 / 샌드위치
아낙,4.4,"9,839",10,307,한정식 / 백반 / 정통 한식
서백자간장게장,4.4,"13,084",14,282,한정식 / 백반 / 정통 한식
자매수산,4.4,"13,918",10,277,"['해산물 요리', '광어회 (소)\n39,000원\n광어회 (중)\n59,000원\n우럭회 (소)\n40,000원\n우럭회 (중)\n60,000원\n모듬해산물\n49,000원']"
조선델리더부티크,4.4,"9,666",8,177,카페 / 디저트
비네트,4.4,"2,467",5,99,이탈리안
카츠8,4.4,"10,005",6,236,까스 요리
히미츠x뱅가드,4.4,"1,319",4,40,이자카야 / 오뎅 / 꼬치
해봉정육,4.4,"2,423",4,100,고기 요리
정식당,4.3,"363,483",205,"7,574",퓨전 한식
파이어벨,4.3,"283,556",381,"8,193","['브런치 / 버거 / 샌드위치', '레오버거\n9,900원\n루키버거\n7,900원\n콜911버거\n9,900원\n하바나버거\n9,500원\n칠리킹\n10,900원']"
다운타우너,4.3,"215,018",300,"7,235",브런치 / 버거 / 샌드위치
리틀넥,4.3,"195,061",192,"7,804",브런치 / 버거 / 샌드위치
