title,Point,View,Review,Star,Type
이도,4.5,"45,009",18,913,"['이자카야 / 오뎅 / 꼬치', '성게알크림파스타\n25,000원\n총알오징어볶음우동\n22,000원\n가츠샌드\n17,000원\n갈츠덴뿌라\n28,000원\n마살라 새우\n16,000원']"
신사치킨클럽,4.5,"29,529",17,"1,002","['다국적 아시아 음식', '치킨카츠\n12,000원\n치킨 완탕면\n12,500원\n물교자\n9,000원\n감자사라다\n8,000원\n치킨 난반\n13,000원']"
계인전 보타니카,4.5,409,7,26,닭 / 오리 요리
비스테까,4.5,"32,784",28,559,카페 / 디저트
비야게레로,4.4,"200,913",341,"5,786",남미 음식
드링크얼랏,4.4,"298,004",237,"9,062","['카페 / 디저트', '러쉬\n8,000원\n데이지\n8,000원\n블랑\n8,000원\n스트로베리 치즈케이크\n8,000원\n라벤더라떼\n6,000원']"
꼼다비뛰드,4.4,"275,192",160,"6,980","['베이커리', '구겔호프\n4,000원\n바브카 카디엄\n4,000원\n스콘\n4,000원\n바스크치즈케이크\n6,000원\n바닐라파운드\n4,200원']"
지아니스나폴리,4.4,"378,403",295,"8,867","['이탈리안', '감베리 크레마\n17,500원\n봉골레 프레스케\n18,500원\n포치니 만조 크림 리조또\n25,000원\n레지나 알 포르노\n21,000원\n디아블라\n20,000원']"
골드피쉬딤섬퀴진,4.4,"331,556",255,"11,182","['딤섬 / 만두', '새우딤섬\n8,700원\n구채교 (3pcs)\n8,700원\n소룡포\n8,700원\n쇼마이\n8,500원\n골드피쉬 탕수육 (R)\n18,000원']"
정돈 프리미엄,4.4,"184,584",230,"4,276","['까스 요리', '로스카츠 (220g)\n18,000원\n상 로스카츠\n24,000원']"
중앙해장,4.4,"426,821",315,"6,591",탕 / 찌개 / 전골
봉밀가,4.4,"72,508",134,"1,774","['국수 / 면 요리', '평양메밀물국수\n12,000원\n평양메밀비빔국수\n12,000원\n뜨거운돌메밀국수\n11,000원\n뜨거운돌냄비우동\n9,500원\n메밀전\n7,000원']"
장스테이크,4.4,"385,552",151,"8,236","['스테이크 / 바베큐', '한우안심스테이크 (200g)\n56,000원\n한우꽃등심스테이크 (200g)\n52,000원\n한우채끝등심스테이크 (200g)\n49,000원\n런치스테이크코스\n58,000원\n디너스테이크코스\n80,000원']"
밍글스,4.4,"118,859",75,"3,663",퓨전 한식
길버트버거앤프라이즈,4.4,"269,185",304,"9,336",브런치 / 버거 / 샌드위치
경천애인 2237,4.4,"517,876",164,"8,163","['고기 요리', '경애등안채 (150g)\n46,500원\n소갈비살 (120g)\n53,000원\n꽃등심 (150g)\n49,500원\n특안심 (150g)\n54,300원\n스페셜육회 (130g)\n29,400원']"
김수사,4.4,"152,520",84,"3,387",회 / 스시
부타이,4.4,"145,628",169,"3,806",정통 일식 / 일반 일식
136길육미,4.4,"135,460",121,"4,617",퓨전 일식
보타르가,4.4,"75,879",61,"1,862",이탈리안
